ComCd,EndDt,CashEqv,AccRec,OthRecIntrDivid,Inventories,OthCurrAss,TotCurrAss,TotalFixAss,IntangAss,TotNCurrAss,TotAss,AccPay,TotCurLia,TotNCurLia,TotLiab,PaidCap,CapResFund,RetainProf,TotShareEquit,TotLiabEquit,TotOpRev,OpRev,TotOpCost,RDExp,OpProf,TotProf,NetProf,NetProfContOper,BasicEPS,NetOpCashFl,NetInvCashFl,NetFinanCashFl,NetProf,FixAssDepr,DeferTaxDecr,InventDecr,BasicEPS,ROE,ROA,EBIT,Opeprfrt,Currt,Qckrt,CashRt,Netprfgrrt,Totassgrrt,ARTrat,Currat,Dbastrt,EqumulDP
C000703,2019/12/31,7439828838,5890241539,406488464.9,9153238548,1589780410,26853004969,38775633927,1557629078,58377752647,85230757617,9658629880,38232177370,17935130547,56167307916,2841725474,9992771355,9579091491,29063449701,85230757617,79620543632,79620543632,76723600073,492740272,4789109186,4771065765,4020682053,4020682053,1.13,-112081728.2,-12489202007,10480385511,4020682053,1444727504,53914451.47,-6082546524,1.13,13.7675,5.5513,5648477812,6.0149,0.7024,0.463,21.7553,86.673,37.8364,21.9085,3.6161,65.9003,3.5339
C000703,2020/12/31,10078983804,3879744130,444853725.8,9650858867,2210554253,28981944336,41579728481,1780817303,63278323820,92260268156,5740701546,41003647740,20964471635,61968119375,3681645407,9165068134,11403002797,30292148781,92260268156,86429630192,86429630192,84114651202,351969307.9,4526284962,4519569436,3814601984,3814601984,1.08,5013772778,-7952472721,5907379829,3814601984,2219594688,30798668.24,-515731328.7,1.08,12.7965,4.2984,6191088927,5.237,0.7068,0.4714,25.7186,-4.8614,7.5755,17.6929,3.0692,67.1666,3.7284
C000703,2021/12/31,14322716794,6436842059,484215755.2,12100381644,1640351289,38595795264,46117918499,1934882730,66953114209,1.06E+11,10011007717,52373316768,20235413428,72608730196,3666280014,9165586160,13623601273,32940179277,1.06E+11,1.29E+11,1.29E+11,1.26E+11,686980218,4290574442,4302889568,3958299122,3958299122,0.94,7754871520,-7551704310,2940576069,3958299122,2749483319,-457377.92,-2514129620,0.94,13.1601,4.0021,6235106021,3.3266,0.7369,0.5059,28.5827,3.767,13.8786,25.0043,3.8172,68.7915,3.9724
C000756,2019/12/31,690469765.7,309307455.9,19676461.89,1130342790,102892339.6,2428386536,2806949444,411593975.2,4007638073,6436024609,434388662.7,2485514473,839980681.7,3325495155,621859447,634142967.7,1250630948,3110529455,6436024609,5606020863,5606020863,5184991469,235401010.4,387436288.7,381392620.9,323115757.5,323115757.5,0.48,348271406.2,-412939829.8,-46231416.76,323115757.5,332005200.6,-2774072.78,-202896526,0.48,10.1032,5.2317,433108442.6,6.9111,0.977,0.5222,27.7798,15.2228,8.0824,17.177,2.3312,51.67,2.1874
C000756,2020/12/31,855770803.3,379909305.4,25163102.98,1124364262,114067003.2,2686871042,3117313129,449247076.7,4406081148,7092952190,452930287.4,2381039243,1320623206,3701662448,621859447,644906623.9,1477281646,3391289742,7092952190,6005586643,6005586643,5585070477,298347278,422485470.3,411637980.8,347113284.2,347113284.2,0.52,420186808.4,-298004924.5,35036273.27,347113284.2,371194365.3,2489436.01,37477269.79,0.52,10.0769,5.1314,465429157,7.0349,1.1284,0.6562,35.9411,7.4269,10.207,17.4273,2.3481,52.1879,2.1846
C000756,2021/12/31,744662302.3,658568486.3,17415074.81,1027539969,44593999.38,2753958306,3195112177,466451491,4578075352,7332033658,661319556.8,2501880371,1179008453,3680888824,627367447,677941287.8,1709067703,3651144834,7332033658,6560077586,6560077586,6173736166,341367394.2,425590536.9,421233319.9,362074281.4,362074281.4,0.56,259116960.2,-237693569.2,-139729948.9,362074281.4,416450692.3,-2250821.49,76176197.7,0.56,10.0506,5.0201,465560420.3,6.4876,1.1008,0.69,31.4037,4.3101,3.3707,12.634,2.4114,50.2028,2.1556
C000785,2019/12/31,4318842864,442108821.9,242611743.3,203700327.5,165077661.1,6482411076,2270304786,612918216,27303536228,33785947304,510421197.8,7862652529,9800487287,17663139817,6019830101,5440160295,3596637989,16122807488,33785947304,9084996585,9084996585,6213214199,52754053.94,3606918604,3934254170,3150928229,3150928229,0.54,2573673512,-465708806.3,-1934267611,3150928229,70818072,118960771.8,-30863679.86,0.54,20.663,17.2597,3959149445,39.7019,0.8245,0.7985,57.2179,60.6032,20.5173,27.3174,1.4106,52.2795,2.3322
C000785,2020/12/31,7516473074,566861928.9,225659646.9,180104384.4,174418432.5,10925744754,2503758788,701959120.3,28355576156,39281320910,623145998.8,8771662743,9788150640,18559813383,6529036899,8325578124,4465450432,20721507527,39281320910,8992909459,8992909459,7115984726,,1992191075,1912752458,1416945278,1416945278,0.22,2055205938,-1484815393,2546212428,1416945278,200508621.8,-26161706.9,23595943.12,0.22,6.9283,3.8785,2015713625,22.1529,1.2456,1.225,87.2484,-55.4415,11.252,18.8799,0.951,47.2484,2.1097
C000785,2021/12/31,5636425580,709375534.3,218586772.1,379067449.4,144598981.2,9067256265,3051530198,715435897.2,47143124612,56210380877,449803141.8,9570994087,26396945119,35967939206,6529036899,8551565105,3993075353,20242441671,56210380877,13071038723,13071038723,9867757427,1485746.92,3265544671,3196805147,2399735523,2399735523,0.36,5700890812,-2396935084,-5181165530,2399735523,217839271.8,-4498054.72,-198933091.4,0.36,12.1109,5.0261,4351586776,24.9831,0.9474,0.9078,61.4663,70.065,-2.7551,20.4417,1.3535,63.9881,3.0833
C000810,2019/12/31,2102848994,4594498874,107990297.4,1271069846,124697041,8961308509,782426840.5,177004551.1,1579954359,10541262868,2074465746,5523355757,1109807231,6633162989,1058283534,449192408.3,2094733703,3908099879,10541262868,8895624062,8895624062,8208241590,479951682.5,676527295.5,677490893.4,616368903.1,616368903.1,0.61,60738527.13,-239837501.5,1001155148,616368903.1,102249621.5,2379207.68,130754112.7,0.61,16.7945,6.5257,692347086.1,7.6052,1.6224,1.3923,50.4267,90.9202,21.452,2.0169,1.0992,62.9257,2.7701
